Load, Connected KVA, Allocation Factor, Phases, kW, kvar, PF, Model
260590B0A,      0.0, 0.500, 1,      6.1,      1.5, 0.970, 1
260590B0B,      0.0, 0.500, 1,      3.6,      0.9, 0.970, 1
260591B0A,      0.0, 0.500, 1,      3.2,      0.8, 0.970, 1
260591B0B,      0.0, 0.500, 1,      6.5,      1.6, 0.970, 1
260594A0A,      0.0, 0.500, 1,      0.9,      0.2, 0.970, 1
260594A0B,      0.0, 0.500, 1,      2.6,      0.7, 0.970, 1
260595A0A,      0.0, 0.500, 1,     21.8,      5.5, 0.970, 1
260595A0B,      0.0, 0.500, 1,      4.8,      1.2, 0.970, 1
260595B0A,      0.0, 0.500, 1,     22.0,      5.5, 0.970, 1
260595B0B,      0.0, 0.500, 1,      7.2,      1.8, 0.970, 1
260595C0A,      0.0, 0.500, 1,      1.2,      0.3, 0.970, 1
260595C0B,      0.0, 0.500, 1,     29.3,      7.3, 0.970, 1
260598A0A,      0.0, 0.500, 1,      1.3,      0.3, 0.970, 1
260598A0B,      0.0, 0.500, 1,     12.0,      3.0, 0.970, 1
260601C0A,      0.0, 0.500, 1,      3.7,      0.9, 0.970, 1
260601C0B,      0.0, 0.500, 1,      2.4,      0.6, 0.970, 1
260602B0A,      0.0, 0.500, 1,      4.4,      1.1, 0.970, 1
260602B0B,      0.0, 0.500, 1,      1.4,      0.3, 0.970, 1
260605A0A,      0.0, 0.500, 1,      4.2,      1.0, 0.970, 1
260605A0B,      0.0, 0.500, 1,     13.6,      3.4, 0.970, 1
260607B0A,      0.0, 0.500, 1,      1.6,      0.4, 0.970, 1
260607B0B,      0.0, 0.500, 1,     13.0,      3.2, 0.970, 1
260620C0A,      0.0, 0.500, 1,      0.1,      0.0, 0.970, 1
260620C0B,      0.0, 0.500, 1,      4.0,      1.0, 0.970, 1
260621C0A,      0.0, 0.500, 1,      3.5,      0.9, 0.970, 1
260621C0B,      0.0, 0.500, 1,      6.7,      1.7, 0.970, 1
260622C0A,      0.0, 0.500, 1,      1.0,      0.2, 0.970, 1
260622C0B,      0.0, 0.500, 1,      5.1,      1.3, 0.970, 1
260624C0A,      0.0, 0.500, 1,      3.8,      0.9, 0.970, 1
260624C0B,      0.0, 0.500, 1,      2.3,      0.6, 0.970, 1
260625C0A,      0.0, 0.500, 1,      5.8,      1.4, 0.970, 1
260625C0B,      0.0, 0.500, 1,      0.3,      0.0, 0.970, 1
260627A0A,      0.0, 0.500, 1,      7.1,      1.8, 0.970, 1
260627A0B,      0.0, 0.500, 1,      6.2,      1.6, 0.970, 1
260630B0A,      0.0, 0.500, 1,      5.8,      1.5, 0.970, 1
260630B0B,      0.0, 0.500, 1,      0.0,      0.0, 0.970, 1
260631A0A,      0.0, 0.500, 1,      0.6,      0.2, 0.970, 1
260631A0B,      0.0, 0.500, 1,      4.7,      1.2, 0.970, 1
260632A0A,      0.0, 0.500, 1,      6.0,      1.5, 0.970, 1
260632A0B,      0.0, 0.500, 1,      2.9,      0.7, 0.970, 1
260634A0A,      0.0, 0.500, 1,      5.0,      1.2, 0.970, 1
260634A0B,      0.0, 0.500, 1,      0.4,      0.0, 0.970, 1
260637C0A,      0.0, 0.500, 1,      1.1,      0.3, 0.970, 1
260637C0B,      0.0, 0.500, 1,      3.0,      0.7, 0.970, 1
260638C0A,      0.0, 0.500, 1,      1.0,      0.3, 0.970, 1
260638C0B,      0.0, 0.500, 1,      9.2,      2.3, 0.970, 1
260639C0A,      0.0, 0.500, 1,      5.4,      1.4, 0.970, 1
260639C0B,      0.0, 0.500, 1,      4.7,      1.2, 0.970, 1
260640C0A,      0.0, 0.500, 1,      0.9,      0.2, 0.970, 1
260640C0B,      0.0, 0.500, 1,      5.2,      1.3, 0.970, 1
260641B0A,      0.0, 0.500, 1,      7.0,      1.7, 0.970, 1
260641B0B,      0.0, 0.500, 1,      7.6,      1.9, 0.970, 1
260643A0A,      0.0, 0.500, 1,      2.7,      0.7, 0.970, 1
260643A0B,      0.0, 0.500, 1,     15.0,      3.8, 0.970, 1
260647A0A,      0.0, 0.500, 1,      2.2,      0.5, 0.970, 1
260647A0B,      0.0, 0.500, 1,      1.4,      0.4, 0.970, 1
260648A0A,      0.0, 0.500, 1,      4.4,      1.1, 0.970, 1
260648A0B,      0.0, 0.500, 1,      4.4,      1.1, 0.970, 1
260650A0A,      0.0, 0.500, 1,      8.7,      2.2, 0.970, 1
260650A0B,      0.0, 0.500, 1,      0.2,      0.0, 0.970, 1
262075C0A,      0.0, 0.500, 1,      2.6,      0.6, 0.970, 1
262075C0B,      0.0, 0.500, 1,      7.6,      1.9, 0.970, 1
274903C0A,      0.0, 0.500, 1,      4.6,      1.1, 0.970, 1
274903C0B,      0.0, 0.500, 1,      1.5,      0.4, 0.970, 1
274985C0A,      0.0, 0.500, 1,      5.9,      1.5, 0.970, 1
274985C0B,      0.0, 0.500, 1,      0.2,      0.0, 0.970, 1
274986C0A,      0.0, 0.500, 1,      0.5,      0.1, 0.970, 1
274986C0B,      0.0, 0.500, 1,      3.5,      0.9, 0.970, 1
274987C0A,      0.0, 0.500, 1,      2.3,      0.6, 0.970, 1
274987C0B,      0.0, 0.500, 1,      3.8,      1.0, 0.970, 1
274988C0A,      0.0, 0.500, 1,      5.3,      1.3, 0.970, 1
274988C0B,      0.0, 0.500, 1,      0.8,      0.2, 0.970, 1
274992C0A,      0.0, 0.500, 1,      4.1,      1.0, 0.970, 1
274992C0B,      0.0, 0.500, 1,      6.1,      1.5, 0.970, 1
274994C0A,      0.0, 0.500, 1,      7.2,      1.8, 0.970, 1
274994C0B,      0.0, 0.500, 1,      3.0,      0.8, 0.970, 1
274997C0A,      0.0, 0.500, 1,      3.1,      0.8, 0.970, 1
274997C0B,      0.0, 0.500, 1,      7.1,      1.8, 0.970, 1
274999C0A,      0.0, 0.500, 1,      4.4,      1.1, 0.970, 1
274999C0B,      0.0, 0.500, 1,      5.8,      1.5, 0.970, 1
275000C0A,      0.0, 0.500, 1,      5.9,      1.5, 0.970, 1
275000C0B,      0.0, 0.500, 1,      0.2,      0.0, 0.970, 1
275001C0A,      0.0, 0.500, 1,      3.0,      0.7, 0.970, 1
275001C0B,      0.0, 0.500, 1,      3.1,      0.8, 0.970, 1
275002C0A,      0.0, 0.500, 1,      4.3,      1.1, 0.970, 1
275002C0B,      0.0, 0.500, 1,      1.8,      0.5, 0.970, 1
275007C0A,      0.0, 0.500, 1,      1.3,      0.3, 0.970, 1
275007C0B,      0.0, 0.500, 1,      4.8,      1.2, 0.970, 1
275008C0A,      0.0, 0.500, 1,      9.0,      2.2, 0.970, 1
275008C0B,      0.0, 0.500, 1,      1.2,      0.3, 0.970, 1
275247B0A,      0.0, 0.500, 1,      2.0,      0.5, 0.970, 1
275247B0B,      0.0, 0.500, 1,      7.7,      1.9, 0.970, 1
275248B0A,      0.0, 0.500, 1,      1.9,      0.5, 0.970, 1
275248B0B,      0.0, 0.500, 1,      2.0,      0.5, 0.970, 1
293422C0A,      0.0, 0.500, 1,      2.2,      0.6, 0.970, 1
293422C0B,      0.0, 0.500, 1,      3.9,      1.0, 0.970, 1
293423B0A,      0.0, 0.500, 1,      1.7,      0.4, 0.970, 1
293423B0B,      0.0, 0.500, 1,      4.1,      1.0, 0.970, 1
293424C0A,      0.0, 0.500, 1,      9.9,      2.5, 0.970, 1
293424C0B,      0.0, 0.500, 1,      5.4,      1.3, 0.970, 1
293425A0A,      0.0, 0.500, 1,      2.8,      0.7, 0.970, 1
293425A0B,      0.0, 0.500, 1,      6.1,      1.5, 0.970, 1
293427C0A,      0.0, 0.500, 1,      6.1,      1.5, 0.970, 1
293427C0B,      0.0, 0.500, 1,      4.1,      1.0, 0.970, 1
293471A0A,      0.0, 0.500, 1,      5.1,      1.3, 0.970, 1
293471A0B,      0.0, 0.500, 1,      3.7,      0.9, 0.970, 1
293471B0A,      0.0, 0.500, 1,      0.6,      0.2, 0.970, 1
293471B0B,      0.0, 0.500, 1,      9.1,      2.3, 0.970, 1
293471C0A,      0.0, 0.500, 1,      5.4,      1.4, 0.970, 1
293471C0B,      0.0, 0.500, 1,      4.7,      1.2, 0.970, 1
293480A0A,      0.0, 0.500, 1,      4.2,      1.1, 0.970, 1
293480A0B,      0.0, 0.500, 1,      1.1,      0.3, 0.970, 1
293483A0A,      0.0, 0.500, 1,      6.3,      1.6, 0.970, 1
293483A0B,      0.0, 0.500, 1,      2.5,      0.6, 0.970, 1
293486C0A,      0.0, 0.500, 1,      8.1,      2.0, 0.970, 1
293486C0B,      0.0, 0.500, 1,      2.0,      0.5, 0.970, 1
293487B0A,      0.0, 0.500, 1,      1.5,      0.4, 0.970, 1
293487B0B,      0.0, 0.500, 1,      8.2,      2.1, 0.970, 1
293490C0A,      0.0, 0.500, 1,      6.9,      1.7, 0.970, 1
293490C0B,      0.0, 0.500, 1,      3.3,      0.8, 0.970, 1
293492C0A,      0.0, 0.500, 1,      0.3,      0.0, 0.970, 1
293492C0B,      0.0, 0.500, 1,      9.9,      2.5, 0.970, 1
293518B0A,      0.0, 0.500, 1,      1.9,      0.5, 0.970, 1
293518B0B,      0.0, 0.500, 1,      7.9,      2.0, 0.970, 1
293519B0A,      0.0, 0.500, 1,      0.5,      0.1, 0.970, 1
293519B0B,      0.0, 0.500, 1,      1.5,      0.4, 0.970, 1
293521A0A,      0.0, 0.500, 1,      3.2,      0.8, 0.970, 1
293521A0B,      0.0, 0.500, 1,      0.3,      0.0, 0.970, 1
293521B0A,      0.0, 0.500, 1,      0.5,      0.1, 0.970, 1
293521B0B,      0.0, 0.500, 1,      3.4,      0.8, 0.970, 1
293521C0A,      0.0, 0.500, 1,      2.9,      0.7, 0.970, 1
293521C0B,      0.0, 0.500, 1,      1.2,      0.3, 0.970, 1
293522A0A,      0.0, 0.500, 1,      2.4,      0.6, 0.970, 1
293522A0B,      0.0, 0.500, 1,      2.9,      0.7, 0.970, 1
293523A0A,      0.0, 0.500, 1,      2.7,      0.7, 0.970, 1
293523A0B,      0.0, 0.500, 1,      6.2,      1.5, 0.970, 1
293591A0A,      0.0, 0.500, 1,      0.8,      0.2, 0.970, 1
293591A0B,      0.0, 0.500, 1,      4.5,      1.1, 0.970, 1
293592A0A,      0.0, 0.500, 1,      4.3,      1.1, 0.970, 1
293592A0B,      0.0, 0.500, 1,      9.0,      2.3, 0.970, 1
293608C0A,      0.0, 0.500, 1,      9.0,      2.2, 0.970, 1
293608C0B,      0.0, 0.500, 1,      1.2,      0.3, 0.970, 1
293609C0A,      0.0, 0.500, 1,      3.7,      0.9, 0.970, 1
293609C0B,      0.0, 0.500, 1,      6.4,      1.6, 0.970, 1
293644A0A,      0.0, 0.500, 1,      1.0,      0.3, 0.970, 1
293644A0B,      0.0, 0.500, 1,      7.9,      2.0, 0.970, 1
293645A0A,      0.0, 0.500, 1,      1.8,      0.4, 0.970, 1
293645A0B,      0.0, 0.500, 1,      7.1,      1.8, 0.970, 1
293652A0A,      0.0, 0.500, 1,      0.9,      0.2, 0.970, 1
293652A0B,      0.0, 0.500, 1,      4.5,      1.1, 0.970, 1
293652B0A,      0.0, 0.500, 1,      0.7,      0.2, 0.970, 1
293652B0B,      0.0, 0.500, 1,     13.9,      3.5, 0.970, 1
293652C0A,      0.0, 0.500, 1,      4.5,      1.1, 0.970, 1
293652C0B,      0.0, 0.500, 1,      1.6,      0.4, 0.970, 1
293655A0A,      0.0, 0.500, 1,      4.7,      1.2, 0.970, 1
293655A0B,      0.0, 0.500, 1,      4.2,      1.0, 0.970, 1
293655B0A,      0.0, 0.500, 1,      7.3,      1.8, 0.970, 1
293655B0B,      0.0, 0.500, 1,      2.4,      0.6, 0.970, 1
293655C0A,      0.0, 0.500, 1,      7.8,      2.0, 0.970, 1
293655C0B,      0.0, 0.500, 1,      2.3,      0.6, 0.970, 1
293656B0A,      0.0, 0.500, 1,      2.0,      0.5, 0.970, 1
293656B0B,      0.0, 0.500, 1,      3.8,      1.0, 0.970, 1
293657B0A,      0.0, 0.500, 1,      4.1,      1.0, 0.970, 1
293657B0B,      0.0, 0.500, 1,      1.7,      0.4, 0.970, 1
293658C0A,      0.0, 0.500, 1,     11.1,      2.8, 0.970, 1
293658C0B,      0.0, 0.500, 1,      9.2,      2.3, 0.970, 1
293659C0A,      0.0, 0.500, 1,      4.1,      1.0, 0.970, 1
293659C0B,      0.0, 0.500, 1,      2.0,      0.5, 0.970, 1
293660B0A,      0.0, 0.500, 1,      0.2,      0.0, 0.970, 1
293660B0B,      0.0, 0.500, 1,      9.5,      2.4, 0.970, 1
293663C0A,      0.0, 0.500, 1,      4.3,      1.1, 0.970, 1
293663C0B,      0.0, 0.500, 1,      1.8,      0.5, 0.970, 1
293664A0A,      0.0, 0.500, 1,     12.0,      3.0, 0.970, 1
293664A0B,      0.0, 0.500, 1,      5.7,      1.4, 0.970, 1
293664B0A,      0.0, 0.500, 1,      4.9,      1.2, 0.970, 1
293664B0B,      0.0, 0.500, 1,     24.3,      6.1, 0.970, 1
293664C0A,      0.0, 0.500, 1,      3.2,      0.8, 0.970, 1
293664C0B,      0.0, 0.500, 1,     17.1,      4.3, 0.970, 1
293665C0A,      0.0, 0.500, 1,      7.3,      1.8, 0.970, 1
293665C0B,      0.0, 0.500, 1,      2.8,      0.7, 0.970, 1
293666C0A,      0.0, 0.500, 1,      2.5,      0.6, 0.970, 1
293666C0B,      0.0, 0.500, 1,      1.6,      0.4, 0.970, 1
293667A0A,      0.0, 0.500, 1,      3.5,      0.9, 0.970, 1
293667A0B,      0.0, 0.500, 1,      1.8,      0.5, 0.970, 1
293668A0A,      0.0, 0.500, 1,      0.7,      0.2, 0.970, 1
293668A0B,      0.0, 0.500, 1,      8.2,      2.0, 0.970, 1
293672A0A,      0.0, 0.500, 1,      0.4,      0.0, 0.970, 1
293672A0B,      0.0, 0.500, 1,      4.9,      1.2, 0.970, 1
293673A0A,      0.0, 0.500, 1,      4.2,      1.1, 0.970, 1
293673A0B,      0.0, 0.500, 1,      4.6,      1.2, 0.970, 1
293681A0A,      0.0, 0.500, 1,      5.1,      1.3, 0.970, 1
293681A0B,      0.0, 0.500, 1,      3.8,      1.0, 0.970, 1
294786C0A,      0.0, 0.500, 1,      0.2,      0.0, 0.970, 1
294786C0B,      0.0, 0.500, 1,      5.9,      1.5, 0.970, 1
294787A0A,      0.0, 0.500, 1,      1.1,      0.3, 0.970, 1
294787A0B,      0.0, 0.500, 1,      2.4,      0.6, 0.970, 1
294788A0A,      0.0, 0.500, 1,      8.4,      2.1, 0.970, 1
294788A0B,      0.0, 0.500, 1,      4.9,      1.2, 0.970, 1
294789A0A,      0.0, 0.500, 1,      5.8,      1.5, 0.970, 1
294789A0B,      0.0, 0.500, 1,      3.1,      0.8, 0.970, 1
294809A0A,      0.0, 0.500, 1,      2.1,      0.5, 0.970, 1
294809A0B,      0.0, 0.500, 1,      3.2,      0.8, 0.970, 1
294810A0A,      0.0, 0.500, 1,      9.0,      2.3, 0.970, 1
294810A0B,      0.0, 0.500, 1,      4.3,      1.1, 0.970, 1
294812A0A,      0.0, 0.500, 1,      2.7,      0.7, 0.970, 1
294812A0B,      0.0, 0.500, 1,      2.7,      0.7, 0.970, 1
294842A0A,      0.0, 0.500, 1,      3.9,      1.0, 0.970, 1
294842A0B,      0.0, 0.500, 1,      4.9,      1.2, 0.970, 1
294843A0A,      0.0, 0.500, 1,      0.8,      0.2, 0.970, 1
294843A0B,      0.0, 0.500, 1,      8.1,      2.0, 0.970, 1
294844A0A,      0.0, 0.500, 1,      3.5,      0.9, 0.970, 1
294844A0B,      0.0, 0.500, 1,      1.8,      0.5, 0.970, 1
294845A0A,      0.0, 0.500, 1,      3.4,      0.9, 0.970, 1
294845A0B,      0.0, 0.500, 1,      1.9,      0.5, 0.970, 1
302367B0A,      0.0, 0.500, 1,      0.3,      0.0, 0.970, 1
302367B0B,      0.0, 0.500, 1,      5.5,      1.4, 0.970, 1
302368B0A,      0.0, 0.500, 1,      3.3,      0.8, 0.970, 1
302368B0B,      0.0, 0.500, 1,      6.4,      1.6, 0.970, 1
302369B0A,      0.0, 0.500, 1,      8.9,      2.2, 0.970, 1
302369B0B,      0.0, 0.500, 1,      0.9,      0.2, 0.970, 1
302370B0A,      0.0, 0.500, 1,      1.1,      0.3, 0.970, 1
302370B0B,      0.0, 0.500, 1,      8.7,      2.2, 0.970, 1
302373B0A,      0.0, 0.500, 1,      1.2,      0.3, 0.970, 1
302373B0B,      0.0, 0.500, 1,      4.7,      1.2, 0.970, 1
302374B0A,      0.0, 0.500, 1,      3.4,      0.8, 0.970, 1
302374B0B,      0.0, 0.500, 1,      2.5,      0.6, 0.970, 1
302375B0A,      0.0, 0.500, 1,      2.6,      0.7, 0.970, 1
302375B0B,      0.0, 0.500, 1,      3.2,      0.8, 0.970, 1
302392A0A,      0.0, 0.500, 1,      5.2,      1.3, 0.970, 1
302392A0B,      0.0, 0.500, 1,      0.2,      0.0, 0.970, 1
302400A0A,      0.0, 0.500, 1,      2.3,      0.6, 0.970, 1
302400A0B,      0.0, 0.500, 1,      3.0,      0.8, 0.970, 1
302402A0A,      0.0, 0.500, 1,      3.6,      0.9, 0.970, 1
302402A0B,      0.0, 0.500, 1,      1.7,      0.4, 0.970, 1
302405A0A,      0.0, 0.500, 1,      5.2,      1.3, 0.970, 1
302405A0B,      0.0, 0.500, 1,      0.1,      0.0, 0.970, 1
302410A0A,      0.0, 0.500, 1,      1.6,      0.4, 0.970, 1
302410A0B,      0.0, 0.500, 1,      7.2,      1.8, 0.970, 1
302412A0A,      0.0, 0.500, 1,      9.3,      2.3, 0.970, 1
302412A0B,      0.0, 0.500, 1,      4.0,      1.0, 0.970, 1
302468A0A,      0.0, 0.500, 1,      1.4,      0.4, 0.970, 1
302468A0B,      0.0, 0.500, 1,      2.1,      0.5, 0.970, 1
302469A0A,      0.0, 0.500, 1,      2.8,      0.7, 0.970, 1
302469A0B,      0.0, 0.500, 1,      2.5,      0.6, 0.970, 1
302471A0A,      0.0, 0.500, 1,      8.9,      2.2, 0.970, 1
302471A0B,      0.0, 0.500, 1,      4.4,      1.1, 0.970, 1
302473A0A,      0.0, 0.500, 1,      0.6,      0.2, 0.970, 1
302473A0B,      0.0, 0.500, 1,      8.2,      2.1, 0.970, 1
302474A0A,      0.0, 0.500, 1,      0.6,      0.2, 0.970, 1
302474A0B,      0.0, 0.500, 1,      8.3,      2.1, 0.970, 1
302507B0A,      0.0, 0.500, 1,      3.9,      1.0, 0.970, 1
302507B0B,      0.0, 0.500, 1,      5.8,      1.5, 0.970, 1
302508C0A,      0.0, 0.500, 1,      6.3,      1.6, 0.970, 1
302508C0B,      0.0, 0.500, 1,      3.9,      1.0, 0.970, 1
302509C0A,      0.0, 0.500, 1,      4.7,      1.2, 0.970, 1
302509C0B,      0.0, 0.500, 1,      1.4,      0.3, 0.970, 1
302510C0A,      0.0, 0.500, 1,      3.5,      0.9, 0.970, 1
302510C0B,      0.0, 0.500, 1,      2.6,      0.6, 0.970, 1
302514A0A,      0.0, 0.500, 1,      0.9,      0.2, 0.970, 1
302514A0B,      0.0, 0.500, 1,      2.6,      0.7, 0.970, 1
302637A0A,      0.0, 0.500, 1,      0.4,      0.1, 0.970, 1
302637A0B,      0.0, 0.500, 1,      4.9,      1.2, 0.970, 1
302672C0A,      0.0, 0.500, 1,      4.6,      1.2, 0.970, 1
302672C0B,      0.0, 0.500, 1,      5.6,      1.4, 0.970, 1
302673A0A,      0.0, 0.500, 1,      7.4,      1.8, 0.970, 1
302673A0B,      0.0, 0.500, 1,      5.9,      1.5, 0.970, 1
302674A0A,      0.0, 0.500, 1,      4.9,      1.2, 0.970, 1
302674A0B,      0.0, 0.500, 1,      3.9,      1.0, 0.970, 1
302675A0A,      0.0, 0.500, 1,      7.2,      1.8, 0.970, 1
302675A0B,      0.0, 0.500, 1,      1.7,      0.4, 0.970, 1
302676A0A,      0.0, 0.500, 1,      2.4,      0.6, 0.970, 1
302676A0B,      0.0, 0.500, 1,      1.1,      0.3, 0.970, 1
302677A0A,      0.0, 0.500, 1,      7.2,      1.8, 0.970, 1
302677A0B,      0.0, 0.500, 1,      1.7,      0.4, 0.970, 1
302678A0A,      0.0, 0.500, 1,      0.5,      0.1, 0.970, 1
302678A0B,      0.0, 0.500, 1,      3.1,      0.8, 0.970, 1
302679A0A,      0.0, 0.500, 1,      1.7,      0.4, 0.970, 1
302679A0B,      0.0, 0.500, 1,      3.6,      0.9, 0.970, 1
302731A0A,      0.0, 0.500, 1,      6.8,      1.7, 0.970, 1
302731A0B,      0.0, 0.500, 1,      2.1,      0.5, 0.970, 1
302732A0A,      0.0, 0.500, 1,      0.4,      0.0, 0.970, 1
302732A0B,      0.0, 0.500, 1,      4.9,      1.2, 0.970, 1
302733A0A,      0.0, 0.500, 1,      0.5,      0.1, 0.970, 1
302733A0B,      0.0, 0.500, 1,      3.1,      0.8, 0.970, 1
302733B0A,      0.0, 0.500, 1,      2.9,      0.7, 0.970, 1
302733B0B,      0.0, 0.500, 1,     11.7,      2.9, 0.970, 1
302734A0A,      0.0, 0.500, 1,      3.6,      0.9, 0.970, 1
302734A0B,      0.0, 0.500, 1,      1.7,      0.4, 0.970, 1
302735A0A,      0.0, 0.500, 1,      8.0,      2.0, 0.970, 1
302735A0B,      0.0, 0.500, 1,      0.8,      0.2, 0.970, 1
302803C0A,      0.0, 0.500, 1,      1.7,      0.4, 0.970, 1
302803C0B,      0.0, 0.500, 1,      8.5,      2.1, 0.970, 1
302804C0A,      0.0, 0.500, 1,     11.3,      2.8, 0.970, 1
302804C0B,      0.0, 0.500, 1,      4.0,      1.0, 0.970, 1
302805C0A,      0.0, 0.500, 1,      2.5,      0.6, 0.970, 1
302805C0B,      0.0, 0.500, 1,      3.6,      0.9, 0.970, 1
302807C0A,      0.0, 0.500, 1,      9.6,      2.4, 0.970, 1
302807C0B,      0.0, 0.500, 1,      0.6,      0.1, 0.970, 1
302808C0A,      0.0, 0.500, 1,      2.7,      0.7, 0.970, 1
302808C0B,      0.0, 0.500, 1,      1.4,      0.4, 0.970, 1
302809C0A,      0.0, 0.500, 1,      4.4,      1.1, 0.970, 1
302809C0B,      0.0, 0.500, 1,      1.7,      0.4, 0.970, 1
302810C0A,      0.0, 0.500, 1,      2.5,      0.6, 0.970, 1
302810C0B,      0.0, 0.500, 1,      3.6,      0.9, 0.970, 1
302811C0A,      0.0, 0.500, 1,      2.0,      0.5, 0.970, 1
302811C0B,      0.0, 0.500, 1,      4.1,      1.0, 0.970, 1
302812C0A,      0.0, 0.500, 1,      5.0,      1.3, 0.970, 1
302812C0B,      0.0, 0.500, 1,      5.1,      1.3, 0.970, 1
302813C0A,      0.0, 0.500, 1,      3.0,      0.7, 0.970, 1
302813C0B,      0.0, 0.500, 1,      3.1,      0.8, 0.970, 1
302834C0A,      0.0, 0.500, 1,      1.9,      0.5, 0.970, 1
302834C0B,      0.0, 0.500, 1,      2.2,      0.6, 0.970, 1
302858C0A,      0.0, 0.500, 1,      4.0,      1.0, 0.970, 1
302858C0B,      0.0, 0.500, 1,      6.1,      1.5, 0.970, 1
302859C0A,      0.0, 0.500, 1,      5.8,      1.5, 0.970, 1
302859C0B,      0.0, 0.500, 1,      0.3,      0.0, 0.970, 1
302860C0A,      0.0, 0.500, 1,      4.8,      1.2, 0.970, 1
302860C0B,      0.0, 0.500, 1,     10.4,      2.6, 0.970, 1
302861C0A,      0.0, 0.500, 1,      3.3,      0.8, 0.970, 1
302861C0B,      0.0, 0.500, 1,      2.8,      0.7, 0.970, 1
302862C0A,      0.0, 0.500, 1,      4.1,      1.0, 0.970, 1
302862C0B,      0.0, 0.500, 1,      2.0,      0.5, 0.970, 1
310560A0A,      0.0, 0.500, 1,      4.3,      1.1, 0.970, 1
310560A0B,      0.0, 0.500, 1,      1.0,      0.2, 0.970, 1
310561A0A,      0.0, 0.500, 1,      8.5,      2.1, 0.970, 1
310561A0B,      0.0, 0.500, 1,      0.4,      0.0, 0.970, 1
310568A0A,      0.0, 0.500, 1,      1.2,      0.3, 0.970, 1
310568A0B,      0.0, 0.500, 1,      4.1,      1.0, 0.970, 1
310569A0A,      0.0, 0.500, 1,      0.3,      0.0, 0.970, 1
310569A0B,      0.0, 0.500, 1,      8.6,      2.2, 0.970, 1
310570A0A,      0.0, 0.500, 1,      6.5,      1.6, 0.970, 1
310570A0B,      0.0, 0.500, 1,      2.4,      0.6, 0.970, 1
321159A0A,      0.0, 0.500, 1,      2.5,      0.6, 0.970, 1
321159A0B,      0.0, 0.500, 1,      2.8,      0.7, 0.970, 1
321836A0A,      0.0, 0.500, 1,      0.7,      0.2, 0.970, 1
321836A0B,      0.0, 0.500, 1,      4.6,      1.2, 0.970, 1
321837A0A,      0.0, 0.500, 1,      1.6,      0.4, 0.970, 1
321837A0B,      0.0, 0.500, 1,      7.3,      1.8, 0.970, 1
321838A0A,      0.0, 0.500, 1,      8.1,      2.0, 0.970, 1
321838A0B,      0.0, 0.500, 1,      0.8,      0.2, 0.970, 1
321839A0A,      0.0, 0.500, 1,      2.9,      0.7, 0.970, 1
321839A0B,      0.0, 0.500, 1,      6.0,      1.5, 0.970, 1
321840B0A,      0.0, 0.500, 1,      2.8,      0.7, 0.970, 1
321840B0B,      0.0, 0.500, 1,      1.1,      0.3, 0.970, 1
321841B0A,      0.0, 0.500, 1,      3.4,      0.8, 0.970, 1
321841B0B,      0.0, 0.500, 1,      6.4,      1.6, 0.970, 1
321845B0A,      0.0, 0.500, 1,      9.5,      2.4, 0.970, 1
321845B0B,      0.0, 0.500, 1,      0.2,      0.0, 0.970, 1
321847B0A,      0.0, 0.500, 1,      3.9,      1.0, 0.970, 1
321847B0B,      0.0, 0.500, 1,      1.9,      0.5, 0.970, 1
321848B0A,      0.0, 0.500, 1,      1.4,      0.4, 0.970, 1
321848B0B,      0.0, 0.500, 1,      4.4,      1.1, 0.970, 1
321849B0A,      0.0, 0.500, 1,      1.4,      0.3, 0.970, 1
321849B0B,      0.0, 0.500, 1,      4.5,      1.1, 0.970, 1
321851B0A,      0.0, 0.500, 1,      0.7,      0.2, 0.970, 1
321851B0B,      0.0, 0.500, 1,      5.1,      1.3, 0.970, 1
321852C0A,      0.0, 0.500, 1,      0.0,      0.0, 0.970, 1
321852C0B,      0.0, 0.500, 1,      4.0,      1.0, 0.970, 1
321853B0A,      0.0, 0.500, 1,      1.1,      0.3, 0.970, 1
321853B0B,      0.0, 0.500, 1,      8.6,      2.2, 0.970, 1
321854B0A,      0.0, 0.500, 1,      1.4,      0.3, 0.970, 1
321854B0B,      0.0, 0.500, 1,      4.5,      1.1, 0.970, 1
321855B0A,      0.0, 0.500, 1,      3.0,      0.8, 0.970, 1
321855B0B,      0.0, 0.500, 1,      2.8,      0.7, 0.970, 1
321856B0A,      0.0, 0.500, 1,      5.4,      1.4, 0.970, 1
321856B0B,      0.0, 0.500, 1,      0.5,      0.1, 0.970, 1
321858B0A,      0.0, 0.500, 1,      2.0,      0.5, 0.970, 1
321858B0B,      0.0, 0.500, 1,      3.8,      1.0, 0.970, 1
321859B0A,      0.0, 0.500, 1,      8.3,      2.1, 0.970, 1
321859B0B,      0.0, 0.500, 1,      1.4,      0.3, 0.970, 1
321860B0A,      0.0, 0.500, 1,      8.8,      2.2, 0.970, 1
321860B0B,      0.0, 0.500, 1,      0.9,      0.2, 0.970, 1
321861C0A,      0.0, 0.500, 1,      1.3,      0.3, 0.970, 1
321861C0B,      0.0, 0.500, 1,      4.8,      1.2, 0.970, 1
321874A0A,      0.0, 0.500, 1,      3.1,      0.8, 0.970, 1
321874A0B,      0.0, 0.500, 1,      5.8,      1.5, 0.970, 1
321876A0A,      0.0, 0.500, 1,      2.5,      0.6, 0.970, 1
